,ID_ INCIDENCIA,TEMP_F1,ESTADO_TEMP,FECHA_INSPECCION,TAG_EQUIPO,DESCRIPCION_COMPONENTE,RUTA_INSP,LADO_POLIN
0,b8d16162,19.0,NORMAL,9/05/2025,531-26-1120,POLÍN MOTRIZ,R005,LADO LIBRE
1,18b3765e,28.4,NORMAL,9/05/2025,531-26-1120,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
2,bb1d6a55,39.3,NORMAL,9/05/2025,531-26-1120,REDUCTOR,R005,LADO ACCIONAMIENTO
3,a4bb6faa,16.8,NORMAL,9/05/2025,531-26-1120,POLÍN COLA,R005,LADO LIBRE
4,0c0d63cc,16.6,NORMAL,9/05/2025,531-26-1120,POLÍN COLA,R005,LADO ACCIONAMIENTO
5,d01defa1,16.4,NORMAL,9/05/2025,531-26-1121,POLÍN COLA,R005,LADO LIBRE
6,18a04af5,16.7,NORMAL,9/05/2025,531-26-1121,POLÍN COLA,R005,LADO ACCIONAMIENTO
7,469b85ac,25.4,NORMAL,9/05/2025,531-26-1121,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
8,05006b37,43.5,NORMAL,9/05/2025,531-26-1121,REDUCTOR,R005,LADO ACCIONAMIENTO
9,aaebd345,19.9,NORMAL,9/05/2025,531-26-1121,POLÍN MOTRIZ,R005,LADO LIBRE
10,4a409863,16.7,NORMAL,9/05/2025,531-26-2120,POLÍN MOTRIZ,R005,LADO LIBRE
11,a2bd0c75,24.2,NORMAL,9/05/2025,531-26-2120,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
12,b15eadde,35.6,NORMAL,9/05/2025,531-26-2120,REDUCTOR,R005,LADO ACCIONAMIENTO
13,edbffda6,14.6,NORMAL,9/05/2025,531-26-2120,POLÍN COLA,R005,LADO ACCIONAMIENTO
14,d98d27a9,14.2,NORMAL,9/05/2025,531-26-2120,POLÍN COLA,R005,LADO LIBRE
15,98877824,14.6,NORMAL,9/05/2025,531-26-2121,POLÍN COLA,R005,LADO ACCIONAMIENTO
16,5e96bb87,14.3,NORMAL,9/05/2025,531-26-2121,POLÍN COLA,R005,LADO LIBRE
17,00f27df1,38.6,NORMAL,9/05/2025,531-26-2121,REDUCTOR,R005,LADO ACCIONAMIENTO
18,11f4733f,27.2,NORMAL,9/05/2025,531-26-2121,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
19,2d453fb9,17.8,NORMAL,9/05/2025,531-26-2121,POLÍN MOTRIZ,R005,LADO LIBRE
20,35aa49bb,20.8,NORMAL,14/05/2025,531-26-1100,POLÍN COLA,R004,LADO LIBRE
21,0b724c0d,11.7,NORMAL,14/05/2025,531-26-1164,POLÍN COLA,R007,LADO ACCIONAMIENTO
22,d9391956,11.7,NORMAL,14/05/2025,531-26-1164,POLÍN COLA,R007,LADO ACCIONAMIENTO
23,37df5185,17.5,NORMAL,14/05/2025,531-26-1164,POLÍN MOTRIZ,R007,LADO ACCIONAMIENTO
24,8073145c,29.4,NORMAL,14/05/2025,531-26-1164,REDUCTOR,R007,LADO ACCIONAMIENTO
25,917aafe8,21.6,NORMAL,14/05/2025,531-26-1162,POLÍN COLA,R007,LADO LIBRE
26,f58171b6,19.6,NORMAL,14/05/2025,531-26-1162,POLÍN COLA,R007,LADO ACCIONAMIENTO
27,5b58c5fa,16.0,NORMAL,14/05/2025,531-26-1162,POLÍN MOTRIZ,R007,LADO LIBRE
28,75f16610,19.7,NORMAL,14/05/2025,531-26-1162,POLÍN MOTRIZ,R007,LADO ACCIONAMIENTO
29,cfe23f7a,32.7,NORMAL,14/05/2025,531-26-2100,POLÍN COLA,R004,LADO ACCIONAMIENTO
30,1d24b333,29.3,NORMAL,14/05/2025,531-26-2100,POLÍN COLA,R004,LADO LIBRE
31,a2fe7a50,22.7,NORMAL,14/05/2025,531-26-2100,POLÍN ENVOLVENTE,R004,LADO LIBRE
32,d5b64aea,22.1,NORMAL,14/05/2025,531-26-2100,POLÍN MOTRIZ,R004,LADO LIBRE
33,5e8d175a,71.1,ENFRIAR,14/05/2025,531-26-2100,REDUCTOR,R004,LADO ACCIONAMIENTO
34,a76017b7,45.4,ENFRIAR,14/05/2025,531-26-2100,POLÍN MOTRIZ,R004,LADO ACCIONAMIENTO
35,2d47f7e2,21.5,NORMAL,14/05/2025,531-26-2101,POLÍN COLA,R004,LADO ACCIONAMIENTO
36,1f56f271,17.0,NORMAL,04/06/2025,531-26-1154,POLÍN COLA,R009,LADO ACCIONAMIENTO
37,6b188bd3,21.4,NORMAL,04/06/2025,531-26-1154,POLÍN COLA,R009,LADO LIBRE
38,3bc9120b,21.0,NORMAL,04/06/2025,531-26-2154,POLÍN COLA,R009,LADO ACCIONAMIENTO
39,8f3523bb,17.2,NORMAL,04/06/2025,531-26-2154,POLÍN COLA,R009,LADO LIBRE
40,da116c8d,16.9,NORMAL,04/06/2025,531-26-1154,POLÍN ENVOLVENTE,R009,LADO ACCIONAMIENTO
41,bc0b2c58,17.1,NORMAL,04/06/2025,531-26-1154,POLÍN ENVOLVENTE,R009,LADO ACCIONAMIENTO
42,21dc98f0,20.7,NORMAL,04/06/2025,531-26-2154,POLÍN ENVOLVENTE,R009,LADO LIBRE
43,505dfbaf,18.6,NORMAL,04/06/2025,531-26-2154,POLÍN ENVOLVENTE,R009,LADO LIBRE
44,3d2f5143,28.1,NORMAL,04/06/2025,531-26-1154,POLÍN MOTRIZ,R009,LADO ACCIONAMIENTO
45,61299d5a,43.1,NORMAL,04/06/2025,531-26-1154,REDUCTOR,R009,LADO ACCIONAMIENTO
46,ae0fa96d,25.1,NORMAL,04/06/2025,531-26-1154,POLÍN MOTRIZ,R009,LADO LIBRE
47,c9c7f26b,24.3,NORMAL,04/06/2025,531-26-2154,POLÍN MOTRIZ,R009,LADO ACCIONAMIENTO
48,97d4880c,37.4,NORMAL,04/06/2025,531-26-2154,REDUCTOR,R009,LADO ACCIONAMIENTO
49,4227bc77,31.2,NORMAL,04/06/2025,531-26-2154,POLÍN COLA,R009,LADO LIBRE
50,692f011fc,20.8,NORMAL,09/05/2025,531-26-1124,POLÍN COLA,R005,LADO LIBRE
51,692f011f,20.8,NORMAL,20/05/2025,531-26-1124,POLÍN COLA,R005,LADO LIBRE
52,fb2d2db6c,19.1,NORMAL,09/05/2025,531-26-1124,POLÍN COLA,R005,LADO ACCIONAMIENTO
53,fb2d2db6,19.1,NORMAL,20/05/2025,531-26-1124,POLÍN COLA,R005,LADO ACCIONAMIENTO
54,d632323dc,42.3,NORMAL,09/05/2025,531-26-1124,POLÍN MOTRIZ,R005,LADO LIBRE
55,d632323d,42.3,NORMAL,20/05/2025,531-26-1124,POLÍN MOTRIZ,R005,LADO LIBRE
56,f651ca26c,42.4,NORMAL,09/05/2025,531-26-1124,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
57,f651ca26,42.4,NORMAL,20/05/2025,531-26-1124,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
58,be984056c,56.9,ENFRIAR,09/05/2025,531-26-1124,REDUCTOR,R005,LADO ACCIONAMIENTO
59,be984056,56.9,ENFRIAR,20/05/2025,531-26-1124,REDUCTOR,R005,LADO ACCIONAMIENTO
60,11d55b5fc,44.7,NORMAL,09/05/2025,531-26-1152,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
61,11d55b5f,44.7,NORMAL,20/05/2025,531-26-1152,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
62,e9c518ccc,52.4,ENFRIAR,09/05/2025,531-26-1152,REDUCTOR,R005,LADO ACCIONAMIENTO
63,e9c518cc,52.4,ENFRIAR,20/05/2025,531-26-1152,REDUCTOR,R005,LADO ACCIONAMIENTO
64,0fef3d22c,26.6,NORMAL,09/05/2025,531-26-1152,POLÍN COLA,R005,LADO ACCIONAMIENTO
65,0fef3d22,26.6,NORMAL,20/05/2025,531-26-1152,POLÍN COLA,R005,LADO ACCIONAMIENTO
66,0e030c97c,28.2,NORMAL,09/05/2025,531-26-1152,POLÍN COLA,R005,LADO LIBRE
67,0e030c97,28.2,NORMAL,20/05/2025,531-26-1152,POLÍN COLA,R005,LADO LIBRE
68,d38e1650,39.1,NORMAL,23/05/2025,531-26-1152,POLÍN MOTRIZ,R005,LADO LIBRE
69,5293c7fec,19.0,NORMAL,09/05/2025,531-26-2124,POLÍN COLA,R005,LADO LIBRE
70,5293c7fe,19.0,NORMAL,20/05/2025,531-26-2124,POLÍN COLA,R005,LADO LIBRE
71,3a33daafc,19.0,NORMAL,09/05/2025,531-26-2124,POLÍN COLA,R005,LADO ACCIONAMIENTO
72,3a33daaf,19.0,NORMAL,20/05/2025,531-26-2124,POLÍN COLA,R005,LADO ACCIONAMIENTO
73,568e9aa2c,44.0,NORMAL,09/05/2025,531-26-2124,POLÍN MOTRIZ,R005,LADO LIBRE
74,568e9aa2,44.0,NORMAL,20/05/2025,531-26-2124,POLÍN MOTRIZ,R005,LADO LIBRE
75,d10ed99fc,36.0,NORMAL,09/05/2025,531-26-2124,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
76,d10ed99f,66.0,ENFRIAR,20/05/2025,531-26-2124,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
77,578d2055c,37.0,NORMAL,09/05/2025,531-26-2124,REDUCTOR,R005,LADO ACCIONAMIENTO
78,578d2055,37.0,NORMAL,20/05/2025,531-26-2124,REDUCTOR,R005,LADO ACCIONAMIENTO
