ID_ INCIDENCIA,ID_COMPONENTE,RODAMIENTO_TERMOGRAFIA,FOTO_1,URL_F1_POL,URL_APP_F1,NUMERO_POLIN,LADO_POLIN,NIVEL_DAÑO,DESCRIPCION_INCIDENCIA,TEMP_F1,ESTADO_TEMP,FOTO2_INC_CHUTE,NIVEL_DAÑO_CHUTE,POSICION_POLIN_CARGA,NUMERO_CHUTE,DESCRIPCION_INC_CHUTE,DESCRIPCION_INC_CONTRAPESO,DESCRIPCION_INC_RASPADORES,DESCRIPCION_INC_CORREA,DESCRIPCION_INC_POL_PRIN,FOTO6_INC_POL_PRIN,FOTO3_INC_CONTRA,FOTO4_INC_CINTA,FOTO5_INC_RASPADOR,FOTO45_INC_POLIN,FECHA_INSPECCION,TAG_EQUIPO,DESCRIPCION_COIMPONENTE,CONCATE_DESCRIP_TAG,RUTA_INSP,ESTADO_V2,ESTADO_INCIDENCIA
b8d16162,COMP00515,,5_3 INCIDENCIA_POLINES_Images/b8d16162.FOTO_1.154419.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4 INCIDENCIAS_TERMOGRAFIAS&fileName=5_3 INCIDENCIA_POLINES_Images/b8d16162.FOTO_1.154419.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4%20INCIDENCIAS_TERMOGRAFIAS&fileName=5_3%20INCIDENCIA_POLINES_Images/b8d16162.FOTO_1.154419.jpg,,LADO LIBRE,,,19.0,NORMAL,,,,,,,,,,,,,,,9/05/2025,531-26-1120,POLÍN MOTRIZ,531-26-1120 POLÍN MOTRIZ,R005,,
18b3765e,COMP00515,,5_3 INCIDENCIA_POLINES_Images/18b3765e.FOTO_1.154423.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4 INCIDENCIAS_TERMOGRAFIAS&fileName=5_3 INCIDENCIA_POLINES_Images/18b3765e.FOTO_1.154423.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4%20INCIDENCIAS_TERMOGRAFIAS&fileName=5_3%20INCIDENCIA_POLINES_Images/18b3765e.FOTO_1.154423.jpg,,LADO ACCIONAMIENTO,,,28.4,NORMAL,,,,,,,,,,,,,,,9/05/2025,531-26-1120,POLÍN MOTRIZ,531-26-1120 POLÍN MOTRIZ,R005,,
bb1d6a55,COMP00516,,5_3 INCIDENCIA_POLINES_Images/bb1d6a55.FOTO_1.154435.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4 INCIDENCIAS_TERMOGRAFIAS&fileName=5_3 INCIDENCIA_POLINES_Images/bb1d6a55.FOTO_1.154435.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4%20INCIDENCIAS_TERMOGRAFIAS&fileName=5_3%20INCIDENCIA_POLINES_Images/bb1d6a55.FOTO_1.154435.jpg,,LADO ACCIONAMIENTO,,,39.3,NORMAL,,,,,,,,,,,,,,,9/05/2025,531-26-1120,REDUCTOR,531-26-1120 REDUCTOR,R005,,
a4bb6faa,COMP00517,,5_3 INCIDENCIA_POLINES_Images/a4bb6faa.FOTO_1.154500.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4 INCIDENCIAS_TERMOGRAFIAS&fileName=5_3 INCIDENCIA_POLINES_Images/a4bb6faa.FOTO_1.154500.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4%20INCIDENCIAS_TERMOGRAFIAS&fileName=5_3%20INCIDENCIA_POLINES_Images/a4bb6faa.FOTO_1.154500.jpg,,LADO LIBRE,,,16.8,NORMAL,,,,,,,,,,,,,,,9/05/2025,531-26-1120,POLÍN COLA,531-26-1120 POLÍN COLA,R005,,
0c0d63cc,COMP00517,,5_3 INCIDENCIA_POLINES_Images/0c0d63cc.FOTO_1.154504.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4 INCIDENCIAS_TERMOGRAFIAS&fileName=5_3 INCIDENCIA_POLINES_Images/0c0d63cc.FOTO_1.154504.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4%20INCIDENCIAS_TERMOGRAFIAS&fileName=5_3%20INCIDENCIA_POLINES_Images/0c0d63cc.FOTO_1.154504.jpg,,LADO ACCIONAMIENTO,,,16.6,NORMAL,,,,,,,,,,,,,,,9/05/2025,531-26-1120,POLÍN COLA,531-26-1120 POLÍN COLA,R005,,
d01defa1,COMP00536,,5_3 INCIDENCIA_POLINES_Images/d01defa1.FOTO_1.161614.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4 INCIDENCIAS_TERMOGRAFIAS&fileName=5_3 INCIDENCIA_POLINES_Images/d01defa1.FOTO_1.161614.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4%20INCIDENCIAS_TERMOGRAFIAS&fileName=5_3%20INCIDENCIA_POLINES_Images/d01defa1.FOTO_1.161614.jpg,,LADO LIBRE,,,16.4,NORMAL,,,,,,,,,,,,,,,9/05/2025,531-26-1121,POLÍN COLA,531-26-1121 POLÍN COLA,R005,,
18a04af5,COMP00536,,5_3 INCIDENCIA_POLINES_Images/18a04af5.FOTO_1.161619.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4 INCIDENCIAS_TERMOGRAFIAS&fileName=5_3 INCIDENCIA_POLINES_Images/18a04af5.FOTO_1.161619.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4%20INCIDENCIAS_TERMOGRAFIAS&fileName=5_3%20INCIDENCIA_POLINES_Images/18a04af5.FOTO_1.161619.jpg,,LADO ACCIONAMIENTO,,,16.7,NORMAL,,,,,,,,,,,,,,,9/05/2025,531-26-1121,POLÍN COLA,531-26-1121 POLÍN COLA,R005,,
469b85ac,COMP00534,,5_3 INCIDENCIA_POLINES_Images/469b85ac.FOTO_1.161739.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4 INCIDENCIAS_TERMOGRAFIAS&fileName=5_3 INCIDENCIA_POLINES_Images/469b85ac.FOTO_1.161739.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4%20INCIDENCIAS_TERMOGRAFIAS&fileName=5_3%20INCIDENCIA_POLINES_Images/469b85ac.FOTO_1.161739.jpg,,LADO ACCIONAMIENTO,,,25.4,NORMAL,,,,,,,,,,,,,,,9/05/2025,531-26-1121,POLÍN MOTRIZ,531-26-1121 POLÍN MOTRIZ,R005,,
05006b37,COMP00535,,5_3 INCIDENCIA_POLINES_Images/05006b37.FOTO_1.161742.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4 INCIDENCIAS_TERMOGRAFIAS&fileName=5_3 INCIDENCIA_POLINES_Images/05006b37.FOTO_1.161742.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4%20INCIDENCIAS_TERMOGRAFIAS&fileName=5_3%20INCIDENCIA_POLINES_Images/05006b37.FOTO_1.161742.jpg,,LADO ACCIONAMIENTO,,,43.5,NORMAL,,,,,,,,,,,,,,,9/05/2025,531-26-1121,REDUCTOR,531-26-1121 REDUCTOR,R005,,
aaebd345,COMP00534,,5_3 INCIDENCIA_POLINES_Images/aaebd345.FOTO_1.161746.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4 INCIDENCIAS_TERMOGRAFIAS&fileName=5_3 INCIDENCIA_POLINES_Images/aaebd345.FOTO_1.161746.jpg,https://www.appsheet.com/template/gettablefileurl?appName=TECBELT-849532544&tableName=5_4%20INCIDENCIAS_TERMOGRAFIAS&fileName=5_3%20INCIDENCIA_POLINES_Images/aaebd345.FOTO_1.161746.jpg,,LADO LIBRE,,,19.9,NORMAL,,,,,,,,,,,,,,,9/05/2025,531-26-1121,POLÍN MOTRIZ,531-26-1121 POLÍN MOTRIZ,R005,,
